,POCKET_RMSD,LIGAND_RMSD
complex.gro,1.7018178701400757,6.36954
step1_200.xyz.gro,1.7018178701400757,6.39871
step2_200_2000_5.0_16930.xyz.gro,1.495530128479004,6.5589
step2_200_2000_5.0_2177.xyz.gro,1.5748814344406128,6.42864
step2_200_2000_5.0_27766.xyz.gro,2.071324348449707,6.33356
step2_200_2000_5.0_28005.xyz.gro,1.6271119117736816,6.52981
step2_200_2000_5.0_4094.xyz.gro,2.015591621398926,6.73973
step2_200_2000_5.0_47873.xyz.gro,1.7005228996276855,7.27274
step2_200_2000_5.0_77285.xyz.gro,1.6536014080047607,6.5719
step2_200_2000_5.0_85412.xyz.gro,1.6863867044448853,6.37199
step2_200_2000_5.0_86398.xyz.gro,1.9210700988769531,6.84534
step2_200_2000_5.0_86498.xyz.gro,1.9985193014144897,6.24525
