,POCKET_RMSD,LIGAND_RMSD
complex_3,1.7018178701400757,2.21665
step1_200.xyz_3,1.7018178701400757,2.29579
step2_200_2000_5.0_16930.xyz_3,1.7940022945404053,1.15089
step2_200_2000_5.0_2177.xyz_3,1.6454973220825195,2.7973
step2_200_2000_5.0_27766.xyz_3,1.7298370599746704,2.19695
step2_200_2000_5.0_28005.xyz_3,1.732450008392334,2.46098
step2_200_2000_5.0_4094.xyz_3,1.9467424154281616,2.74501
step2_200_2000_5.0_47873.xyz_3,1.7403627634048462,3.49375
step2_200_2000_5.0_77285.xyz_3,1.6673718690872192,2.20412
step2_200_2000_5.0_85412.xyz_3,1.6020169258117676,3.24067
step2_200_2000_5.0_86398.xyz_3,1.7049334049224854,2.14974
step2_200_2000_5.0_86498.xyz_3,2.017706632614136,2.53089
